,participant,task,trial,choice,reward,stimulus_0,stimulus_1,validities,item_type,tier
36,0,0,36,1,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
37,0,0,37,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
38,0,0,38,0,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
39,0,0,39,1,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
40,0,0,40,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
41,0,0,41,1,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
42,0,0,42,1,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
43,0,0,43,0,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
44,0,0,44,0,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
45,0,0,45,0,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
46,0,0,46,0,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
47,0,0,47,0,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
48,0,0,48,1,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
49,0,0,49,1,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
50,0,0,50,1,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
51,0,0,51,0,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
52,0,0,52,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
53,0,0,53,0,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
54,0,0,54,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
55,0,0,55,1,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
56,0,0,56,1,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
57,0,0,57,0,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
58,0,0,58,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
59,0,0,59,1,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
60,0,0,60,0,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
61,0,0,61,0,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
62,0,0,62,1,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
63,0,0,63,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
64,0,0,64,0,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
65,0,0,65,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
66,0,0,66,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
67,0,0,67,1,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
68,0,0,68,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
69,0,0,69,1,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
70,0,0,70,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
71,0,0,71,1,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
72,0,0,72,0,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
73,0,0,73,1,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
74,0,0,74,0,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
75,0,0,75,0,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
76,0,0,76,1,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
77,0,0,77,0,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
78,0,0,78,0,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
79,0,0,79,0,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
80,0,0,80,1,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
81,0,0,81,1,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
82,0,0,82,0,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
83,0,0,83,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
84,0,0,84,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
85,0,0,85,0,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
86,0,0,86,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
87,0,0,87,1,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
88,0,0,88,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
89,0,0,89,0,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
90,0,0,90,0,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
91,0,0,91,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
92,0,0,92,0,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
93,0,0,93,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
94,0,0,94,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
95,0,0,95,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
96,1,0,0,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
97,1,0,1,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
98,1,0,2,0,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
99,1,0,3,0,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
100,1,0,4,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
101,1,0,5,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
102,1,0,6,0,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
103,1,0,7,0,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
104,1,0,8,0,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
105,1,0,9,0,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
106,1,0,10,0,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
107,1,0,11,1,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
108,1,0,12,0,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
109,1,0,13,1,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
110,1,0,14,0,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
111,1,0,15,1,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
112,1,0,16,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
113,1,0,17,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
114,1,0,18,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
115,1,0,19,1,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
116,1,0,20,1,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
117,1,0,21,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
118,1,0,22,0,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
119,1,0,23,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
120,1,0,24,1,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
121,1,0,25,1,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
122,1,0,26,0,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
123,1,0,27,0,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
124,1,0,28,1,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
125,1,0,29,1,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
126,1,0,30,0,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
127,1,0,31,1,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
128,1,0,32,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
129,1,0,33,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
130,1,0,34,1,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
131,1,0,35,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
132,1,0,36,0,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
133,1,0,37,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
134,1,0,38,0,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
135,1,0,39,1,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
136,1,0,40,0,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
137,1,0,41,0,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
138,1,0,42,0,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
139,1,0,43,1,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
140,1,0,44,1,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
141,1,0,45,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
142,1,0,46,0,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
143,1,0,47,0,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
144,1,0,48,1,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
145,1,0,49,1,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
146,1,0,50,0,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
147,1,0,51,0,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
148,1,0,52,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
149,1,0,53,1,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
150,1,0,54,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
151,1,0,55,0,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
152,1,0,56,0,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
153,1,0,57,0,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
154,1,0,58,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
155,1,0,59,1,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
156,1,0,60,1,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
157,1,0,61,0,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
158,1,0,62,1,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
159,1,0,63,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
160,1,0,64,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
161,1,0,65,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
162,1,0,66,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
163,1,0,67,0,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
164,1,0,68,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
165,1,0,69,1,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
166,1,0,70,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
167,1,0,71,1,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
168,1,0,72,0,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
169,1,0,73,1,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
170,1,0,74,0,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
171,1,0,75,0,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
172,1,0,76,1,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
173,1,0,77,1,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
174,1,0,78,0,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
175,1,0,79,1,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
176,1,0,80,1,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
177,1,0,81,1,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
178,1,0,82,0,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
179,1,0,83,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
180,1,0,84,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
181,1,0,85,1,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
182,1,0,86,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
183,1,0,87,1,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
184,1,0,88,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
185,1,0,89,0,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
186,1,0,90,0,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
187,1,0,91,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
188,1,0,92,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
189,1,0,93,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
190,1,0,94,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
191,1,0,95,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
192,2,0,0,0,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
193,2,0,1,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
194,2,0,2,1,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
195,2,0,3,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
196,2,0,4,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
197,2,0,5,0,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
198,2,0,6,0,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
199,2,0,7,0,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
200,2,0,8,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
201,2,0,9,0,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
202,2,0,10,1,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
203,2,0,11,0,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
204,2,0,12,0,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
205,2,0,13,1,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
206,2,0,14,0,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
207,2,0,15,1,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
208,2,0,16,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
209,2,0,17,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
210,2,0,18,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
211,2,0,19,1,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
212,2,0,20,0,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
213,2,0,21,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
214,2,0,22,0,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
215,2,0,23,0,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
216,2,0,24,1,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
217,2,0,25,0,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
218,2,0,26,1,0,[8 8 8 8 8],[10 10 7 7 7],[0.9 0.8 0.7 0.6 0.5],3,0.0
219,2,0,27,0,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
220,2,0,28,1,0,[10 10 4 4 4],[7 7 7 7 7],[0.9 0.8 0.7 0.6 0.5],6,0.0
221,2,0,29,1,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
222,2,0,30,0,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
223,2,0,31,1,0,[4 4 4 4 4],[10 10 3 3 3],[0.9 0.8 0.7 0.6 0.5],4,0.0
224,2,0,32,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
225,2,0,33,1,0,[10 10 7 7 7],[9 9 9 9 9],[0.9 0.8 0.7 0.6 0.5],1,0.0
226,2,0,34,0,0,[10 10 2 2 2],[5 5 5 5 5],[0.9 0.8 0.7 0.6 0.5],5,0.0
227,2,0,35,1,0,[6 6 6 6 6],[10 10 5 5 5],[0.9 0.8 0.7 0.6 0.5],2,0.0
